Route,Location,Latitude,Longitude,URL,votes_most_log
"Breashears' Crack (V2 3.1 236) 
 Upper Wisdom (V3+ 3.1 78)",The Black Hole,39.65276,-105.18641,https://www.mountainproject.com/route/105755029/breashears-crack,2.3729120029701067
A7 -V1 (V1-2 3.2 230),A-7 Boulder,39.9889,-105.29091,https://www.mountainproject.com/route/105752380/a7-v1,2.361727836017593
"Wedgie aka The Cube Problem (V4 3.3 78) 
 Northwest Arete (V1 2.2 42) 
 Fred's Mantel aka Easy Mantel (V1+ 2.0 31)",Cube Boulder,38.912,-104.85682,https://www.mountainproject.com/route/105792449/wedgie-aka-the-cube-problem,1.8920946026904804
"Original Grapple (V4- 3.2 222) 
 Major Tom (V3- 2.4 84) 
 South Warmup (V0 1.9 74) 
 Across (V0 1.7 51) 
 East Warmup (V1 1.8 36) 
 Space Oddity (V0 2.0 30)",BBC Boulder,39.98899,-105.29117,https://www.mountainproject.com/route/105751345/original-grapple,2.346352974450639
"Cloud Shadow Traverse (V4+ 3.2 120) 
 The Consideration (V4 3.1 153) 
 Alcove East Overhang (V3 3.0 74) 
 Moderate Bulge (V1 2.6 33) 
 Sailor's Delight (V1 X 3.7 6) 
 Contemplation (V2 R 2.8 21) 
 Allegro Bulge (V2 2.6 13) 
 The Corridor Problem (V4 2.3 19)",Cloud Shadow,40.00272,-105.29477,https://www.mountainproject.com/route/105749216/cloud-shadow-traverse,2.0791812460476247
"Upper Y Traverse (V3+ 3.3 93) 
 Y-Right (V1 R 3.1 84) 
 Pinch Bulge (V3 2.4 57) 
 Pinch Bulge Sit Down (V4+ 2.5 46) 
 Y-Left (V1 2.4 30) 
 Center Right (V1 2.5 21) 
 Left Side (V1 PG13 2.3 19)",Upper Y Traverse,40.00353,-105.29773,https://www.mountainproject.com/route/105812105/upper-y-traverse,1.968482948553935
"Guiding Light A.K.A Round Up (V3 3.5 78) 
 The Troll Cave (V3 3.3 67) 
 Wise Crack (V0 2.4 49) 
 Work It (V1 2.6 41) 
 Cut Out The Craze (V2 2.7 41) 
 The Lukes... A.K.A. Loyalty To Skill (V4 3.7 15) 
 The Troll Pull (V2 2.5 39) 
 Inward Particle (V2 2.7 23) 
 In An Order That Would Surprise You (V2+ 2.9 11)",Work and Play Area,39.63018,-105.34755,https://www.mountainproject.com/route/106484362/guiding-light-aka-round-up,1.8920946026904804
"Big Overhang (V2 3.6 78) 
 Traverse (V3 2.6 18)",Overhang Wall,40.00321,-105.29743,https://www.mountainproject.com/route/106148252/big-overhang,1.8920946026904804
"Warm-Up Arete (V3 3.4 147) 
 Far Right Arete (V1 2.4 80) 
 Right Slab (V2- 2.3 63) 
 Left Slab (V1 2.0 54)",Warm-Up Block Three,39.63356,-105.70929,https://www.mountainproject.com/route/113384340/warm-up-arete,2.167317334748176
"Right Eliminator Prow (V4 3.7 77) 
 Right Eliminator (V4- 3.0 108) 
 Beached Whale (V2+ 2.7 128) 
 Corner Lunge (V1 2.2 100) 
 Right Eliminator Left (V4 3.2 38) 
 Eliminator North Slab Center (V1 R 2.1 35) 
 Left Crack (a.k.a. Biercrack) (V0 1.8 36) 
 Dogleg Crack (V2 R 2.4 21)",Eliminator Boulder,40.566,-105.1556,https://www.mountainproject.com/route/105751216/right-eliminator-prow,1.8864907251724818
"The Monkey Traverse (V4 3.5 235) 
 Shallow Slot (V3-4 PG13 3.0 21) 
 West Overhang (V1 X 2.8 13)",Monkey Traverse,40.00096,-105.29657,https://www.mountainproject.com/route/105761538/the-monkey-traverse,2.3710678622717363
"The Ladder (V2 3.6 187) 
 Timeline (V1 R 3.6 56) 
 Dark Crystal (V3 3.3 35) 
 Last of the Ohitians (V1 3.1 38) 
 Rule #11 - Neck of My Skin (V2 PG13 4.0 1) 
 Zorro Warmup (V1 2.1 40) 
 Canvas (V2 R 3.6 5) 
 Thing Across From Bierstadt (V3 2.2 26) 
 V4 Left of Maker's Mark (V4 2.9 10)",Bierstadt Area,39.6326,-105.6211,https://www.mountainproject.com/route/106497744/the-ladder,2.271841606536499
"The Millennium Falcon (V1 3.7 107) 
 Natural Selection (V3 3.2 9)",Falcon Block,39.05158,-108.6059,https://www.mountainproject.com/route/106055084/the-millennium-falcon,2.0293837776852097
"Breashear's Crack II (V3 3.9 303) 
 In the Beginning (V1 2.9 218) 
 Super Phun Thyme (V3 3.3 65) 
 Done Deal Dyno (V3 2.2 94) 
 Where is My Gummy Bear? (what my daughter called it) (V3 3.0 65) 
 Deal Jams (V1+ 2.1 150) 
 Southeast Arete (V4 2.6 44) 
 From Here Or There (V2 2.3 27) 
 Squeezed (V3 2.9 14) 
 God Created Crimps (V4+ 2.1 23)",The Cube Area,39.65112,-105.18653,https://www.mountainproject.com/route/105755113/breashears-crack-ii,2.481442628502305
