Route,Location,Latitude,Longitude,URL,votes_most_log
Pots and Hands (V0 2.7 3),Mooney Boulder,35.70904,-114.81416,https://www.mountainproject.com/route/117296195/pots-and-hands,0.47712125471966244
"Fleur de Lis (V1 2.4 12) 
 Blocky Slab (V0 1.7 9) 
 Left Chunky Face (V1 2.0 3) 
 Petra (V4+ 2.5 2)",Fleur de Lis,35.71463,-114.92544,https://www.mountainproject.com/route/107408314/fleur-de-lis,1.0791812460476249
"V2 (V2 2.8 4) 
 V0 (V0 2.2 11) 
 V0  2 (V0 2.2 9) 
 48 Horses (V2 2.5 2) 
 V1 (V1 2.0 11)",Boulder A,39.2419,-119.7405,https://www.mountainproject.com/route/106308032/v2,0.6020599913279624
Just Say No (V3 PG13 2.8 4),Just Say No,36.16298,-115.489,https://www.mountainproject.com/route/112926652/just-say-no,0.6020599913279624
"Pork Chop Sandwich (V2 2.8 4) 
 Sundial Traverse (V1 2.3 3)",The Sundial,36.10873,-115.47722,https://www.mountainproject.com/route/107575110/pork-chop-sandwich,0.6020599913279624
"Gand Traverse (V1 2.3 13) 
 Pop the Clutch Jane (V0 2.0 11) 
 C4 (V3 1.8 8)",Warm Up Wall,39.24223,-119.74002,https://www.mountainproject.com/route/106321043/gand-traverse,1.1139433523068367
Thong (5.6 V-easy R 1.6 30),Panty Wall,36.14964,-115.4299,https://www.mountainproject.com/route/105732311/thong,1.4771212547196624
"E.H.T. (V3+ 2.0 2) 
 5.8d (V0 2.0 2)",EHT,35.71487,-114.92603,https://www.mountainproject.com/route/112271233/eht,0.3010299956639812
White Face (V0+ 2.8 5),White Face,39.51748,-119.90767,https://www.mountainproject.com/route/108763941/white-face,0.6989700043360189
"Keyhole Dihedral (V0 2.7 3) 
 F.A.T.R. (Fuckin-A That's Rad) (V-easy 3.0 1) 
 Dihedral Slab (V3 2.0 2) 
 Turtle Jim (V3-4 2.3 3) 
 Randy's Corner (V1 2.0 2) 
 Straight Up (V1-2 0.5 2) 
 UDTF (V1+ -1.0 0) 
 Keyhole Right Crack (V1-2 X 3.0 1)",Front Boulder Wall,35.71505,-114.92623,https://www.mountainproject.com/route/120124031/keyhole-dihedral,0.47712125471966244
"Central Perk (V2 2.5 2) 
 Back Right (V1 2.0 1) 
 Front (V0 1.0 1) 
 Back Left (V0 1.0 1)",Friends Boulder,36.14134,-115.42016,https://www.mountainproject.com/route/118149148/central-perk,0.3010299956639812
"Flint Lock (V1-2 3.7 3) 
 Chekhov's Gun (V4-5 1.5 2) 
 Strategic Charm (V3-4 1.0 1)",Strategic Arms Boulder,36.15834,-115.43293,https://www.mountainproject.com/route/117273309/flint-lock,0.47712125471966244
"Beastress (V1-2 3.0 2) 
 Cragamuffin (V2-3 2.0 2) 
 Gimme All The Sugar (V0 2.0 1) 
 Mr. Baby (V0 2.0 1) 
 Theo (V2-3 2.0 1) 
 Chi Chi Farm (V0 1.0 2) 
 Taro Milk Tea (V0+ 1.0 1) 
 Go To Sleep, Go to Sleep (V2 1.0 1) 
 There's Treats In There (V0+ 1.0 1) 
 1/2 Sweet, Less Ice (V0+ 0.0 1)",Beating Heart Boulders,36.14548,-115.42101,https://www.mountainproject.com/route/118758523/beastress,0.3010299956639812
Lowball (V3 2.4 14),Big Jugs Adjacent Boulder,36.15959,-115.41664,https://www.mountainproject.com/route/111720059/lowball,1.146128035678238
Kuality Kontrol AKA The Kitty Litter Problem (V4+ 2.7 3),Kuality Kontrol Boulder,36.15786,-115.42912,https://www.mountainproject.com/route/122118859/kuality-kontrol-aka-the-kitty-litter-problem,0.47712125471966244
"Right Arête (V3 2.4 20) 
 Blunt Arête (V1 1.6 5)",Venom Boulder,36.1611,-115.4238,https://www.mountainproject.com/route/120119572/right-arete,1.3010299956639813
"Monkey See, Mountain Do (V1 3.0 2) 
 Der Oonterkloggen Direct (V2 2.0 2) 
 Der Oonterkloggen Traverse (V2 2.0 1)",Swine Slide,39.896,-119.6465,https://www.mountainproject.com/route/107247192/monkey-see-mountain-do,0.3010299956639812
Crack of Fire (V3 3.0 2),Crack of Fire,36.13057,-115.4866,https://www.mountainproject.com/route/110661889/crack-of-fire,0.3010299956639812
"Down Feathers (V0 3.0 2) 
 Athene Noctua (V0 2.0 1) 
 Silent Wings (V0 2.0 1) 
 Owl Just Wing It (V1 1.0 2) 
 Wing Warm Up (V0 1.0 1)",Wing Boulder,39.36894,-119.69515,https://www.mountainproject.com/route/120391610/down-feathers,0.3010299956639812
"Headpiece (V1 3.0 2) 
 Nana Nana (V3 2.0 2) 
 J.E.V. Forevs (V2 2.0 1) 
 Cowboy Caviar (V4 2.0 1)",Monument Boulders,36.04687,-115.45715,https://www.mountainproject.com/route/120335263/headpiece,0.3010299956639812
Supine Roof (V4-5 3.0 2),The Clearing Boulder,36.00133,-114.75447,https://www.mountainproject.com/route/116761998/supine-roof,0.3010299956639812
"Knuckle Up (V4-5 3.0 2) 
 Unnamed (V1 2.0 1)",Knuckle Buster,40.34727,-119.30604,https://www.mountainproject.com/route/118215339/knuckle-up,0.3010299956639812
No Excuses (V3 3.0 3),No Excuses,36.14388,-115.42054,https://www.mountainproject.com/route/119915102/no-excuses,0.47712125471966244
"Tidal Wave (V4 3.0 2) 
 The Lizard Traverse (V1 2.5 2) 
 Rising from the Weeds (V-easy PG13 1.0 2) 
 Lizard King (V0 1.0 1)",3 Kings Area,39.89332,-119.63847,https://www.mountainproject.com/route/118761425/tidal-wave,0.3010299956639812
Toasted (V4 3.0 2),Marble Rye Boulder,36.16352,-115.4245,https://www.mountainproject.com/route/116181714/toasted,0.3010299956639812
"Dropping In (V4- 3.0 2) 
 Unnamed Finger Crack (V2 2.0 1) 
 Unnamed Hand Crack (V1 2.0 1) 
 Traumeel Arete (V0 1.0 1)",The Zephyr Boulder,39.0172,-119.93933,https://www.mountainproject.com/route/122305621/dropping-in,0.3010299956639812
"The Wayward Son (V0 3.0 2) 
 rail (V1-2 2.5 2) 
 left (V0 1.5 2)",Wayward Son,36.15951,-115.41683,https://www.mountainproject.com/route/122003762/the-wayward-son,0.3010299956639812
Sidewinder (V4 3.0 2),Sidewinder Boulder,36.15515,-115.42864,https://www.mountainproject.com/route/115162166/sidewinder,0.3010299956639812
"Polishing Your Shoes (V1-2 2.8 6) 
 Feeding The Geese (V0 2.4 5)",The Underclinger Boulder,39.27109,-119.93598,https://www.mountainproject.com/route/117036848/polishing-your-shoes,0.7781512503836436
Java sit start (V2 3.0 3),Java Boulder,36.16219,-115.45011,https://www.mountainproject.com/route/110662076/java-sit-start,0.47712125471966244
Karmic Retribution (5.11c V4 3.0 3),Spit Roasted Wall,35.93486,-115.51884,https://www.mountainproject.com/route/112560002/karmic-retribution,0.47712125471966244
"Bullet-Proof Crack (V1 3.0 3) 
 Is that a chihuahua? (V0 2.0 1) 
 Don't call the cops (V0- 1.0 1) 
 Am I Dreaming? (V0 1.0 1) 
 Mr. Brown (V0 1.0 1) 
 East Side Love (V0 1.0 1)",Galena High Boulders,39.38944,-119.78895,https://www.mountainproject.com/route/118088822/bullet-proof-crack,0.47712125471966244
Bone Grinder (V3 3.0 3),Bone Grinder Boulder,36.15064,-115.42659,https://www.mountainproject.com/route/114521768/bone-grinder,0.47712125471966244
"Twin Cracks Left (V3 3.0 4) 
 Alien Egg (V1 2.6 5) 
 Sommerset hustle (V2 2.0 4) 
 4th street Ogre (V2-3 2.0 2) 
 Pong (V3 2.0 1)",Church Ridge,39.51877,-119.91758,https://www.mountainproject.com/route/108760515/twin-cracks-left,0.6020599913279624
"Skeptic Tank (V2 2.7 7) 
 Secret Stash (V2 2.7 10) 
 Bucks (V2-3 2.6 7) 
 Placebo (V0-1 2.1 8) 
 Shit House Crack (V1 2.1 13) 
 Flush Gordon (V1 1.5 6) 
 Backside Right (V0 1.4 8) 
 Upper Decker (V1 1.2 5)",Shit House Boulder,36.16099,-115.4979,https://www.mountainproject.com/route/120444893/skeptic-tank,0.8450980400142568
LipTraverse (V3 2.9 7),Lip,35.71448,-114.9253,https://www.mountainproject.com/route/107408353/liptraverse,0.8450980400142568
Glizzy Reef (V3 3.0 4),North Canyon Bouldering,36.23027,-115.33764,https://www.mountainproject.com/route/120127387/glizzy-reef,0.6020599913279624
Snake Eye (V3-4 2.9 9),Snake Eyes Wall Bouldering,35.71495,-114.92569,https://www.mountainproject.com/route/118652818/snake-eye,0.9542425094393249
"Born To Bleed (5.10+ V2 2.9 9) 
 Vera's Roof (5.9 V0 1.5 2)",Moderate Mecca,36.14221,-115.41998,https://www.mountainproject.com/route/106629875/born-to-bleed,0.9542425094393249
Bouldering is Training (V2-3 3.0 7),Bouldering is Training,36.15622,-115.43773,https://www.mountainproject.com/route/111710313/bouldering-is-training,0.8450980400142568
"Bugs Bunny (V0- 2.8 13) 
 Center (V1 3.0 2) 
 Slot to Slab (V1 2.3 11) 
 Bare Knuckles (V3 2.1 9) 
 Brass Knuckles (V3-4 2.5 2) 
 Knuckle Bunnies (V3-4 2.0 2) 
 Arête Right (V1 1.3 4)",Warm-Up Boulder,36.14373,-115.42029,https://www.mountainproject.com/route/120088861/bugs-bunny,1.1139433523068367
"Thot Provoking (V4 2.4 23) 
 Big Mac Crack (V0 1.8 34) 
 Dihedral (V0 1.4 23)",Big Mac Crack,36.16044,-115.42264,https://www.mountainproject.com/route/121564836/thot-provoking,1.3617278360175928
Life Coach (V3 3.3 4),The Coach Boulder,39.01778,-119.93959,https://www.mountainproject.com/route/117564167/life-coach,0.6020599913279624
