Route,Location,Latitude,Longitude,URL,votes_most_log
"Move N' Groove Barbie (V7 3.6 69) 
 Thin Man (V5 2.9 69) 
 Disco Polly (V6 2.9 65) 
 The Loaf (V5 3.0 59) 
 Pinch a Loaf (V2+ 2.3 59) 
 The Beautician (V4-5 2.9 39) 
 V1 Traverse (V1 2.4 37)",Monster Roof,35.08068,-111.61301,https://www.mountainproject.com/route/106140715/move-n-groove-barbie,1.8388490907372552
"Aloha Arete (V2 3.2 73) 
 Hot Carl (V4 3.5 48) 
 Aloha Left Arete (V2 2.7 61) 
 Trailer Park Arete (V4 3.1 43) 
 Aloha Far Left (V3 2.4 51) 
 Chimney/ off width squeeze (V1 4.0 1) 
 Pushin' Rope (V6 3.4 11) 
 Laid Back (V4 2.9 24) 
 Sloper Problem (aka The Impossible Undercling) (V5 3.3 10) 
 Roof Problem Right (V6 2.9 8) 
 Unnamed Prow (V5-6 3.0 4) 
 Godwin Direct (V5 2.5 15) 
 Unknown Fingercrack (V2-3 2.6 14) 
 Planet Terror (V11 3.0 1)",Trailer Park,35.06591,-111.69528,https://www.mountainproject.com/route/106155118/aloha-arete,1.863322860120456
"Moonstone (V6 3.7 80) 
 Eclipse (V8 3.6 36) 
 Charles in Charge (V5 3.3 30) 
 New Moon (V10 4.0 5) 
 Steppin' Out (V3 3.1 22) 
 Gun Shy (V5 3.2 14) 
 Flying Fish (V1- 3.5 10) 
 Lob Job (V6 3.3 8) 
 Blood Moon (V9 3.3 3) 
 Fish Tale (V4 3.1 9) 
 The Bolt (V0+ 2.8 15) 
 Fastball AKA The Baseball Throw (V2-3 2.3 21) 
 Full Moon (V8 2.8 6) 
 Fierce Invalids (V4+ 3.0 3) 
 Moonlighting (V7- 2.5 11)","Moonstone, Leg Lock Rock, Bolt Rock Area",34.46766,-112.43789,https://www.mountainproject.com/route/105960200/moonstone,1.9030899869919435
Sinker (5.6 V-easy 2.5 88),Cracker Jack Cliffs,34.75582,-111.06739,https://www.mountainproject.com/route/105800645/sinker,1.9444826721501687
"Facelift (V4 3.5 78) 
 Charlie's Angels (V5 3.0 30) 
 The Crucible (V10+ 3.8 4) 
 Faceleft AKA Facelift Traverse (V6 3.5 15) 
 Midsummer Dreams (V8 3.6 10) 
 Worst Crimps (V8 3.3 14) 
 Helen Lieback (V0+ 2.5 33) 
 Zorro (V0 2.6 32) 
 My Body Is Not Designed For This (V3 3.1 11) 
 The Fang (V1+ 2.3 26)",The Island (Facelift Area),34.46593,-112.43992,https://www.mountainproject.com/route/106268074/facelift,1.8920946026904804
"The Whip and the Cross (V4-5 3.1 86) 
 Tin Ho! (V4 3.3 18) 
 [Redacted] (V4 2.2 20)",Killer Wall,35.0821,-111.60133,https://www.mountainproject.com/route/106131813/the-whip-and-the-cross,1.9344984512435677
"Left Arete (V0 2.9 135) 
 White Streak (V2 2.5 86) 
 V0 Traverse (V0 2.6 68) 
 Flexi Flake (V4 2.6 69) 
 Plaque Wall Arete (V2 2.4 60) 
 Black Streak (V3 2.6 51) 
 Man Tits (V3+ 2.5 42) 
 Microdots (V2- 2.0 54) 
 M.O.A.B (V5 3.6 25) 
 Triangle Boulder Traverse (V2-3 2.5 45) 
 Puss Gut (V5 2.6 40) 
 A Hamster's Climb (V1 1.8 47) 
 Self-induced Vomiting (V4 PG13 3.0 3)",Welcome Boulder (aka Triangle Boulder),35.08201,-111.59841,https://www.mountainproject.com/route/106047275/left-arete,2.130333768495006
"Lazer Cut (V3 3.2 95) 
 Sloper Traverse (V5+ 3.3 3) 
 Free Willy (V6 2.7 16) 
 Scary Larry (V8-9 3.0 1)",Free Willy/Lazer Cut Boulder,34.87282,-111.75338,https://www.mountainproject.com/route/106507931/lazer-cut,1.9777236052888478
"Puffer Fish (V6 3.2 93) 
 The Hermit (V5 2.8 59) 
 R God is Neither (V8 3.7 24) 
 Cosmic Tricycle (V9-10 3.3 31) 
 The Missionary Position (V6 2.9 36) 
 Pink Lightening Ultra (V12-13 4.0 1) 
 Pink Lightening (V11 3.7 3) 
 Huffalufagus (V10 3.0 10) 
 Cosmic Bicycle (V7 PG13 2.7 16) 
 Chandler Dub Allstars (V10 2.8 6) 
 Burque Dub Allstars (V9- 2.7 3) 
 Swordfish (V5+ 2.6 18) 
 Rise of the Phoenix (V10 3.0 4)",Puzzle Box,35.0802,-111.60147,https://www.mountainproject.com/route/107010455/puffer-fish,1.968482948553935
The Coffin (V3 3.2 130),Coffin Roof,35.0809,-111.6063,https://www.mountainproject.com/route/106158204/the-coffin,2.113943352306837
"The Wave (V0+ 3.3 127) 
 Wave Traverse (V0 PG13 2.8 45) 
 Frogger (V3 2.8 35) 
 Mainline (V8 3.7 19) 
 Farmer John (V4 3.2 22) 
 Classic Crack (V2 2.5 28) 
 El Shannon (V7 3.1 9) 
 The Chronic (V3 2.9 15) 
 Look At This (V-easy 2.1 24) 
 Steely Dan (V7 3.0 3) 
 Weapons Grade (V10-11 3.3 3) 
 Big Foot Traverse (V3-4 3.3 3)",The Wave Area,34.46757,-112.43804,https://www.mountainproject.com/route/105962630/the-wave,2.103803720955957
"The Bat Cave (V3+ 3.6 300) 
 The Fin (V1-2 3.2 282) 
 Bat Roof Direct (V4 3.3 55) 
 Roof Crack (V1-2 2.4 62) 
 Ultramega (5.11d V4 3.3 28) 
 The Underachiever (V7 2.4 24) 
 Dynamic Duo (V6 2.7 20)",The Bat Roof,35.08209,-111.60985,https://www.mountainproject.com/route/105945102/the-bat-cave,2.4771212547196626
"Anorexic Sacrifice (V6 3.6 145) 
 Carnivore Direct (V9 3.8 37) 
 Carnivore (V8 3.7 42) 
 Meateater (V7 3.2 31) 
 BK Broiler (anorexic direct) (V11 4.0 4) 
 The Carnibroiler (V11+ 3.5 2) 
 Eat Meater (V8 3.1 13)",Anorexic Roof,35.0807,-111.61268,https://www.mountainproject.com/route/106053236/anorexic-sacrifice,2.161368002234975
"Bad Ass (V5 3.7 116) 
 Stinky Ass (V7 3.3 34) 
 Left Exit (V1 2.4 30) 
 One Bad Stinky Ass Motherfucker (V8+ 3.0 2)",Bad Ass Roof,35.07798,-111.61136,https://www.mountainproject.com/route/106132849/bad-ass,2.0644579892269186
