Route,Location,Latitude,Longitude,URL
"Zucker Bebe (After You, My Friend) (5.10b 3.3 16) (Sport 1 105.0) 
 Medusa's Werewolf (5.9 3.2 13) (Sport 2 90.0) 
 Howling Wolf (5.9+ 3.0 15) (Sport 1 85.0)",Jed Wall,49.89482,-123.16409,https://www.mountainproject.com/route/114431832/zucker-bebe-after-you-my-friend
"TISM (5.11b 3.8 5) (Sport 1 80.0) 
 The Mercenaries (5.10c 3.4 11) (Sport 1 90.0) 
 Maniacs (5.10a 3.1 9) (Sport 1 90.0)",Zebra Wall,49.3432,-117.84151,https://www.mountainproject.com/route/114281066/tism
"Appetite for Destruction (5.10b 3.8 5) (Sport 1 50.0) 
 Knobulator (5.9 3.0 4) (Sport 1 nan) 
 Gotta Like It (5.10a 3.0 3) (Sport 1 nan)",Destruction Zone,49.8879,-124.5457,https://www.mountainproject.com/route/106227430/appetite-for-destruction
The Tickler (5.11+ 4.0 2) (Sport 1 90.0),Chipmunk Creek Wall,49.1121,-121.6448,https://www.mountainproject.com/route/107321460/the-tickler
"Pirates of the Waterworld (5.10b 3.5 11) (Sport 3 300.0) 
 Le Grand Bleu (5.11a 3.0 3) (Sport 4 nan)",Voyage Cliff,51.09855,-118.18058,https://www.mountainproject.com/route/114561013/pirates-of-the-waterworld
"Dog-Legging (5.8 2.4 33) (Trad, TR 1 75.0) 
 Fern Gully (5.4 2.3 27) (Trad, TR 1 75.0) 
 Christa's Revenge (5.7 2.6 13) (Trad, TR 1 95.0)",Fern Gully,49.70564,-123.13672,https://www.mountainproject.com/route/105963940/dog-legging
"Double Shot No Foam Soy Latte (5.12a 3.5 10) (Sport 1 40.0) 
 Pool Boy (5.11a 3.4 9) (Sport 1 40.0) 
 Jealous Husband (5.12a/b 3.3 3) (Sport 1 40.0) 
 Flake (5.11b 2.9 9) (Sport 1 40.0) 
 Tomb Raider (5.11b 3.0 2) (Sport 1 50.0)",Cougar Crag,49.3522,-123.2413,https://www.mountainproject.com/route/107288332/double-shot-no-foam-soy-latte
"Recess (5.10a 2.9 21) (Sport 1 40.0) 
 Playground Bully (5.11a/b 2.9 15) (Sport 1 45.0) 
 Shits and Giggles in the Lake (5.10b 2.7 16) (Sport 1 55.0)",The Playground,49.71655,-123.09859,https://www.mountainproject.com/route/114458289/recess
"Portage (5.10c 3.8 4) (Sport 1 80.0) 
 Shooting the Rapids (5.10a/b 2.9 7) (Sport 1 65.0) 
 High and Dry (5.10+ 3.0 4) (Sport 1 65.0)",Canoe Trail Crags,49.4586,-119.56336,https://www.mountainproject.com/route/117851038/portage
"Socially Distant (5.10a 3.6 5) (Sport 1 nan) 
 Speaking Moistly (5.10a 3.5 2) (Sport 1 nan) 
 Training Ground (5.7 3.5 4) (Sport 1 55.0) 
 Twisted T (5.10c 3.3 4) (Sport 1 nan) 
 Working Independently (5.8 3.0 2) (Sport 1 55.0)",Middle Wall,49.0766,-121.71154,https://www.mountainproject.com/route/119054102/socially-distant
Spirit Bear (5.11b 3.8 4) (Sport 1 nan),Lower Bear,49.82378,-119.367,https://www.mountainproject.com/route/118135963/spirit-bear
"Flower Power (5.11b 3.8 4) (Sport 1 90.0) 
 The Oasis (5.11a 3.7 3) (Sport 1 70.0) 
 Tiptoe Through the Tulips (5.11a 3.0 4) (Sport 1 90.0)",Tulip Falls,49.36571,-117.93291,https://www.mountainproject.com/route/114937716/flower-power
"Dr Scholl’s Funky Feet (5.10a 3.8 4) (Sport 1 nan) 
 Mosfuratu (5.11b 3.5 2) (Sport 1 nan) 
 Shits & Giggles (5.10b 3.0 4) (Sport 1 nan)",The Hen House,50.57212,-120.13874,https://www.mountainproject.com/route/112406516/dr-scholls-funky-feet
"Schizophrenia (5.10b 3.4 11) (Trad, Sport 12 2000.0)",Psyche Slab,50.1628,-124.2238,https://www.mountainproject.com/route/106214934/schizophrenia
"Emotional Rescue (5.11a 3.6 7) (Sport 1 40.0) 
 Another One Bites The Dust (5.12a 3.7 3) (Sport 1 40.0) 
 Go Your Own Way (5.11d 3.5 6) (Sport 1 40.0)",Rock of Ages,49.9032,-123.1585,https://www.mountainproject.com/route/119371674/emotional-rescue
"Faint Hope Claws (5.10c 3.4 11) (Sport 1 85.0) 
 Colours of the Wind (5.11a 3.4 5) (Sport 1 85.0) 
 Road Warrior (5.10d 3.3 3) (Sport 1 60.0) 
 Press the Flesh (5.11a 3.3 4) (Sport 1 75.0) 
 Morning Thief (5.9 2.7 11) (Sport 1 65.0) 
 Odyssey (5.10a 2.9 7) (Sport 1 70.0) 
 Father's Day (5.9 2.8 8) (Sport 1 60.0)",(d) Claim-it-All,49.44911,-119.55532,https://www.mountainproject.com/route/111114200/faint-hope-claws
"Punch The Monkey (5.10a 3.4 11) (Sport 1 nan) 
 Tachycardia (5.11a 3.6 5) (Sport 1 nan) 
 Bradycardia (5.8+ 2.8 11) (Sport 1 nan)",Left,50.7524,-120.72419,https://www.mountainproject.com/route/108071463/punch-the-monkey
"Orphan Overhang (5.9 3.5 8) (Sport, TR 1 32.0) 
 Unknown (5.11d V4 R 3.4 5) (Sport, Boulder 1 26.0)",(b) Daycare,49.43611,-119.56352,https://www.mountainproject.com/route/115122122/orphan-overhang
"Chromatic Suspension (5.11d 3.5 8) (Sport 1 70.0) 
 Serendipity (5.12d 3.5 2) (Sport 1 80.0) 
 My Backward Walk (5.10a 3.0 2) (Sport 1 82.0)",Capone Wall,49.94171,-123.16539,https://www.mountainproject.com/route/114512930/chromatic-suspension
"Original Thin (5.10c 2.5 30) (Sport 1 70.0) 
 Pseudo-Buddhist (5.11a 2.0 25) (Sport 1 nan)",Genesis,49.6464,-123.2045,https://www.mountainproject.com/route/106999974/original-thin
"Optical Delusion (5.11a 3.4 9) (Sport 1 nan) 
 Another Pretty Face (5.10a/b 2.7 11) (Sport 1 nan) 
 Sunset Boulevard (5.10c 3.0 4) (Sport 1 nan)",(b) Foreplay Right,49.4513,-119.56666,https://www.mountainproject.com/route/112288669/optical-delusion
"Learning to Fly (5.10b 3.6 5) (Sport 1 45.0) 
 Broken Wing (5.10a 3.4 5) (Sport 1 45.0) 
 Constabulary (5.10a 3.0 6) (Sport 1 60.0) 
 Darkness (5.10d 3.0 3) (Sport 1 70.0)",Raven Wall,49.62561,-125.08266,https://www.mountainproject.com/route/119287663/learning-to-fly
"Masters of Mediocrity (5.10a 2.6 16) (Sport 1 60.0) 
 Hollow Flake (5.10a 2.8 17) (Sport 1 60.0) 
 Deceptive (5.10b 2.6 10) (Sport 1 60.0) 
 Tessticles and Egos (5.11 3.0 8) (Sport 1 60.0) 
 Dirtbaggers (5.10d 3.0 4) (Sport 1 60.0) 
 Big Momma's Rock (5.10b/c 2.8 5) (Sport 1 60.0)",The Courtyard,49.71393,-123.09943,https://www.mountainproject.com/route/114457839/masters-of-mediocrity
"Manzplaination (5.9 3.7 3) (Sport 1 78.0) 
 Birds of Prey (5.7 2.7 7) (Sport 1 100.0)",Manzanita Wall,50.14076,-125.26197,https://www.mountainproject.com/route/117027346/manzplaination
"Lonely Boy (5.10d 3.7 3) (Sport 1 nan) 
 State of love and trust (5.12a 3.5 4) (Sport 1 35.0) 
 Attempted Theft (5.7 3.0 2) (Sport 1 nan)",Lonely Boy,49.78216,-119.51553,https://www.mountainproject.com/route/117346850/lonely-boy
What Fir (5.8 3.7 3) (Sport 1 35.0),WhatFir,49.84043,-123.14618,https://www.mountainproject.com/route/114431980/what-fir
"ACL Optional (5.10c 3.7 3) (Sport, TR 1 nan) 
 Early For Breakfast (5.10b 3.0 2) (Sport, TR 1 nan)",High Country Bluff,49.34854,-117.26618,https://www.mountainproject.com/route/116627945/acl-optional
Duelling Banjos (5.11c 3.7 3) (Sport 1 50.0),Sector 1,50.9077,-116.4392,https://www.mountainproject.com/route/107238037/duelling-banjos
"Mea Culpa (5.9 3.3 10) (Sport 1 nan) 
 Driza-bone (5.10c 3.0 2) (Sport 1 nan)",(g) Tippling Tower,49.44374,-119.56553,https://www.mountainproject.com/route/107196081/mea-culpa
"Soylent Green 11b (5.11b 3.5 6) (Sport 1 nan) 
 Black Hand of God (5.12a/b 3.3 3) (Sport 1 nan) 
 Link up (5.11b/c 3.0 2) (Sport 1 50.0) 
 Rude Awakening (5.11a/b 3.0 2) (Sport 1 nan) 
 No Need to Grovel (5.11c 3.0 2) (Sport 1 nan)",(a) Foreplay Left and Centre,49.45248,-119.56587,https://www.mountainproject.com/route/112287740/soylent-green-11b
Varicose Veins (5.11b 2.9 19) (Sport 1 nan),Campground Wall,49.6782,-123.1515,https://www.mountainproject.com/route/109349217/varicose-veins
